,0
714,0
715,0
716,9014
717,0
718,9457
719,0
720,0
721,9689
722,9699
723,9628
724,9829
725,8928
726,9929
727,0
728,9578
729,0
730,9327
731,0
732,9610
733,9182
734,0
735,8886
736,0
737,0
738,0
739,0
740,9756
741,0
742,9390
743,0
744,9508
745,0
746,0
747,9765
748,9957
749,9844
750,0
751,0
752,0
753,0
754,0
755,9522
756,8994
757,9481
758,0
759,0
760,9371
761,9151
762,9769
763,0
764,9889
765,0
766,0
767,0
768,0
769,9994
770,0
771,0
772,9088
773,0
774,9643
775,10000
776,9310
777,0
778,9210
779,0
780,0
781,0
782,8774
783,0
784,0
785,9881
786,9619
787,9590
788,9636
789,0
790,9423
791,9841
792,9058
793,0
794,0
795,0
796,0
797,0
798,0
799,9055
800,0
801,9488
802,9371
803,0
804,0
805,9917
806,9606
807,9433
808,9605
809,0
810,0
811,9122
812,0
813,0
814,9511
815,9301
816,0
817,0
818,9911
819,0
820,8879
821,0
822,0
823,10000
824,9753
825,0
826,9906
827,0
828,0
829,9296
830,9990
831,0
832,0
833,8912
834,9951
835,9148
836,9865
837,9421
838,9292
839,9775
840,0
841,0
842,0
843,9563
844,9088
845,0
846,0
847,0
848,9867
849,0
850,0
851,0
852,0
853,0
854,9906
855,0
856,0
857,0
858,0
859,0
860,0
861,9224
862,9657
863,9560
864,9453
865,0
866,0
867,0
868,0
869,0
870,0
871,9435
872,0
873,0
874,9810
875,0
876,0
877,0
878,0
879,9834
880,9589
881,9302
882,9679
883,0
884,0
885,9877
886,9275
887,0
888,9995
889,9337
890,9581
891,0
892,0
893,0
894,0
895,9309
896,9973
897,0
898,9926
899,0
900,9955
901,0
902,10000
903,9414
904,0
905,9763
906,9255
907,9819
908,9634
909,0
910,9323
911,0
912,9415
913,9699
914,9995
915,10000
916,0
917,0
918,0
919,0
920,9506
921,0
922,0
923,0
924,0
925,9495
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,9556
934,9137
935,0
936,0
937,0
938,0
939,9553
940,0
941,0
942,9492
943,9962
944,9941
945,0
946,0
947,0
948,9936
949,9999
950,9830
951,0
952,0
953,0
954,0
955,0
956,9989
957,9899
958,0
959,10000
960,9437
961,0
962,9877
963,9379
964,0
965,9998
966,0
967,9878
968,9996
969,0
970,0
971,9464
972,0
973,9909
974,0
975,0
976,9778
977,0
978,0
979,9086
980,0
981,0
982,9957
983,9218
984,0
985,9119
986,9959
987,9523
988,9960
989,0
990,9360
991,9813
992,0
993,0
994,9953
995,0
996,10000
997,0
998,0
999,9676
1000,9818
1001,9899
1002,0
1003,0
1004,9987
1005,0
1006,9978
1007,9979
1008,0
1009,0
1010,9661
1011,9772
1012,9823
1013,0
1014,9929
1015,0
1016,9718
1017,10000
1018,9963
1019,9130
1020,0
1021,0
1022,9956
1023,9782
1024,0
1025,9955
1026,9971
1027,0
1028,9708
1029,9995
1030,9986
1031,0
1032,9600
1033,0
1034,0
1035,9708
1036,9966
1037,0
1038,9391
1039,0
1040,0
1041,9989
1042,9870
1043,0
1044,9996
1045,8782
1046,9999
1047,9874
1048,10000
1049,9732
1050,9932
1051,9949
1052,0
1053,9944
1054,9994
