,0
705,10000
706,10000
707,135
708,10000
709,10000
710,10000
711,10000
712,238
713,10000
714,10000
715,10000
716,986
717,10000
718,543
719,10000
720,10000
721,311
722,301
723,372
724,171
725,1072
726,71
727,10000
728,422
729,10000
730,673
731,10000
732,390
733,818
734,10000
735,1114
736,10000
737,10000
738,10000
739,10000
740,244
741,10000
742,610
743,10000
744,492
745,10000
746,10000
747,235
748,43
749,156
750,10000
751,10000
752,10000
753,10000
754,10000
755,478
756,1006
757,519
758,10000
759,10000
760,629
761,849
762,231
763,10000
764,111
765,10000
766,10000
767,10000
768,10000
769,6
770,10000
771,10000
772,912
773,10000
774,357
775,0
776,690
777,10000
778,790
779,10000
780,10000
781,10000
782,1226
783,10000
784,10000
785,119
786,381
787,410
788,364
789,10000
790,577
791,159
792,942
793,10000
794,10000
795,10000
796,10000
797,10000
798,10000
799,945
800,10000
801,512
802,629
803,10000
804,10000
805,83
806,394
807,567
808,395
809,10000
810,10000
811,878
812,10000
813,10000
814,489
815,699
816,10000
817,10000
818,89
819,10000
820,1121
821,10000
822,10000
823,0
824,247
825,10000
826,94
827,10000
828,10000
829,704
830,10
831,10000
832,10000
833,1088
834,49
835,852
836,135
837,579
838,708
839,225
840,10000
841,10000
842,10000
843,437
844,912
845,10000
846,10000
847,10000
848,133
849,10000
850,10000
851,10000
852,10000
853,10000
854,94
855,10000
856,10000
857,10000
858,10000
859,10000
860,10000
861,776
862,343
863,440
864,547
865,10000
866,10000
867,10000
868,10000
869,10000
870,10000
871,565
872,10000
873,10000
874,190
875,10000
876,10000
877,10000
878,10000
879,166
880,411
881,698
882,321
883,10000
884,10000
885,123
886,725
887,10000
888,5
889,663
890,419
891,10000
892,10000
893,10000
894,10000
895,691
896,27
897,10000
898,74
899,10000
900,45
901,10000
902,0
903,586
904,10000
905,237
906,745
907,181
908,366
909,10000
910,677
911,10000
912,585
913,301
914,5
915,0
916,10000
917,10000
918,10000
919,10000
920,494
921,10000
922,10000
923,10000
924,10000
925,505
926,10000
927,10000
928,10000
929,10000
930,10000
931,10000
932,10000
933,444
934,863
935,10000
936,10000
937,10000
938,10000
939,447
940,10000
941,10000
942,508
943,38
944,59
945,10000
946,10000
947,10000
948,64
949,1
950,170
951,10000
952,10000
953,10000
954,10000
955,10000
956,11
957,101
958,10000
959,0
960,563
961,10000
962,123
963,621
964,10000
965,2
966,10000
967,122
968,4
969,10000
970,10000
971,536
972,10000
973,91
974,10000
975,10000
976,222
977,10000
978,10000
979,914
980,10000
981,10000
982,43
983,782
984,10000
985,881
986,41
987,477
988,40
989,10000
990,640
991,187
992,10000
993,10000
994,47
995,10000
996,0
997,10000
998,10000
999,324
1000,182
1001,101
1002,10000
1003,10000
1004,13
1005,10000
1006,22
1007,21
1008,10000
1009,10000
1010,339
1011,228
1012,177
1013,10000
1014,71
1015,10000
1016,282
1017,0
1018,37
1019,870
1020,10000
1021,10000
1022,44
1023,218
1024,10000
1025,45
1026,29
1027,10000
1028,292
1029,5
1030,14
1031,10000
1032,400
1033,10000
1034,10000
1035,292
1036,34
1037,10000
1038,609
1039,10000
1040,10000
1041,11
1042,130
1043,10000
1044,4
1045,1218
1046,1
1047,126
1048,0
1049,268
1050,68
1051,51
1052,10000
1053,56
1054,6
1055,914
1056,452
1057,10000
1058,1
1059,138
1060,10000
1061,10000
1062,1
1063,10000
1064,328
1065,10000
1066,10000
1067,10000
1068,10000
1069,0
1070,1
1071,10000
1072,4
1073,10000
1074,10000
1075,10000
1076,10000
1077,4
1078,10000
1079,566
1080,203
1081,306
1082,10000
1083,10000
1084,0
1085,126
1086,152
1087,0
1088,358
1089,385
1090,667
1091,1
1092,222
1093,167
1094,101
1095,10000
1096,57
1097,10000
1098,530
1099,281
1100,10000
1101,155
1102,10000
1103,10000
1104,1059
1105,10000
1106,10000
1107,10000
1108,10000
1109,10000
1110,10000
1111,10000
1112,10000
1113,501
1114,791
1115,180
1116,10000
1117,10000
1118,10000
1119,10000
1120,44
1121,10000
1122,10000
1123,53
1124,686
1125,817
1126,105
1127,814
1128,10000
1129,17
1130,10000
1131,4
1132,15
1133,204
1134,10000
1135,500
1136,186
1137,755
1138,10000
1139,10000
1140,24
1141,10000
1142,98
1143,1032
1144,135
1145,10000
1146,10000
1147,10000
1148,265
1149,10000
1150,1
1151,314
1152,813
1153,387
1154,10000
1155,10000
1156,940
1157,10000
1158,10000
1159,10000
1160,10000
1161,10000
1162,10000
1163,10000
1164,10000
1165,400
1166,1726
1167,10000
1168,867
1169,10000
1170,195
1171,507
1172,10000
1173,10000
1174,10000
1175,93
1176,10000
1177,83
1178,283
1179,10000
1180,56
1181,10000
1182,10000
1183,10000
1184,10000
1185,165
1186,75
1187,10000
1188,832
1189,505
1190,302
1191,814
1192,10000
1193,10000
1194,495
1195,10000
1196,417
1197,353
1198,412
1199,10000
1200,10000
1201,10000
1202,1069
1203,10000
1204,812
1205,10000
1206,10000
1207,87
1208,633
1209,10000
1210,10000
1211,10000
1212,276
1213,874
1214,625
1215,100
1216,10000
1217,10000
1218,663
1219,971
1220,81
1221,10000
1222,10000
1223,10000
1224,10000
1225,10000
1226,10000
1227,10000
1228,377
1229,268
1230,145
1231,779
1232,10000
1233,10000
1234,10000
1235,10000
1236,51
1237,1205
1238,10000
1239,10000
1240,147
1241,10000
1242,725
1243,398
1244,10000
1245,10000
1246,337
1247,10000
1248,418
1249,39
1250,708
1251,596
1252,10000
1253,10000
1254,14
1255,985
1256,10000
1257,20
1258,10000
1259,988
1260,10000
1261,178
1262,821
1263,542
1264,10000
1265,10000
1266,71
1267,10000
1268,588
1269,2034
1270,485
1271,10000
1272,10000
1273,10000
1274,10000
1275,10000
1276,10000
1277,557
1278,0
1279,384
1280,10000
1281,10000
1282,969
1283,10000
1284,1085
1285,0
1286,82
1287,133
1288,814
1289,10000
1290,10000
1291,639
1292,10000
1293,393
1294,10000
1295,10000
1296,855
1297,239
1298,10000
1299,10000
1300,10000
1301,332
1302,51
1303,10000
1304,10000
1305,10000
1306,10000
1307,2
1308,570
1309,403
1310,10000
1311,1043
1312,316
1313,10000
1314,30
1315,10000
1316,1032
1317,10000
1318,1059
1319,10000
1320,1184
1321,737
1322,10000
1323,770
1324,10000
1325,10000
1326,795
1327,161
1328,10000
1329,10000
1330,10000
1331,10000
1332,775
1333,1339
1334,10
1335,10000
1336,10000
1337,10000
1338,10000
1339,0
1340,0
1341,10000
1342,289
1343,10000
1344,343
1345,10000
1346,597
1347,10000
1348,10000
1349,10000
1350,928
1351,10000
1352,550
1353,10000
1354,10000
1355,928
1356,860
1357,318
1358,10000
1359,1003
1360,10000
1361,10000
1362,10000
1363,10000
1364,33
1365,1228
1366,591
1367,10000
1368,1087
1369,10000
1370,450
1371,68
1372,10000
1373,37
1374,851
1375,736
1376,662
1377,10000
1378,244
1379,10000
1380,10000
1381,1627
1382,910
1383,985
1384,10000
1385,10000
1386,536
1387,10000
1388,0
1389,10000
1390,10000
1391,10000
1392,10000
1393,157
1394,10
1395,10000
1396,287
1397,759
1398,10000
1399,10000
1400,10000
1401,609
1402,496
1403,180
1404,10000
1405,545
1406,10000
1407,10000
1408,10000
1409,5
1410,10000
1411,10000
1412,12
1413,176
1414,10000
1415,10000
1416,10000
1417,233
1418,286
1419,22
1420,10000
1421,10000
1422,1
1423,39
1424,398
1425,10000
1426,298
1427,10000
1428,10000
1429,129
1430,10000
1431,1021
1432,329
1433,760
1434,10000
1435,371
1436,64
1437,587
1438,101
1439,721
1440,519
1441,10000
1442,467
1443,10000
1444,10000
1445,10000
1446,10000
1447,10000
1448,10000
1449,10000
1450,10000
1451,10000
1452,586
1453,84
1454,10000
1455,10000
1456,10000
1457,300
1458,10000
1459,10000
1460,10000
1461,10000
1462,162
1463,10000
1464,10000
1465,10000
1466,10000
1467,365
1468,10000
1469,10000
1470,39
1471,5
1472,10000
1473,432
1474,10000
1475,10000
1476,68
1477,10000
1478,350
1479,10000
1480,649
1481,10000
1482,72
1483,10000
1484,17
1485,10000
1486,10000
1487,0
1488,10000
1489,578
1490,10000
1491,104
1492,10000
1493,10000
1494,10000
1495,237
1496,640
1497,10000
1498,10000
1499,117
1500,3
1501,0
1502,10000
1503,10000
1504,10000
1505,11
1506,160
1507,692
1508,390
1509,10000
1510,10000
1511,152
1512,10000
1513,10000
1514,149
1515,7
1516,10000
1517,0
1518,10000
1519,244
1520,10000
1521,10000
1522,10000
1523,10000
1524,0
1525,90
1526,10000
1527,10000
1528,208
1529,10000
1530,10000
1531,10000
1532,1146
1533,63
1534,10000
1535,717
1536,242
1537,83
1538,7
1539,10000
1540,147
1541,10000
1542,0
1543,20
1544,10000
1545,10000
1546,10000
1547,751
1548,10000
1549,54
1550,43
1551,78
1552,10000
1553,106
1554,76
1555,127
1556,10000
1557,10000
1558,10000
1559,14
1560,1
1561,10000
1562,10000
1563,10000
1564,10000
1565,133
1566,0
1567,108
