timestamp,executed,status,duration,mem_mean,mem_median,mem_peak,return_code,output,tool,benchmark,dataset,model,phase
1712863772,True,success,3.82,500788170.1052632,593793024.0,768479232,0,/experiments/comparison/prophecy/1/BM7/ruleset.csv,prophecy,trustbench,BM,BM7,analyze
1712863775,True,success,3.82,516292608.0,608002048.0,755838976,0,/experiments/comparison/prophecy/1/BM2/ruleset.csv,prophecy,trustbench,BM,BM2,analyze
1712863779,True,success,3.63,552549262.2222222,625981440.0,764440576,0,/experiments/comparison/prophecy/1/BM11/ruleset.csv,prophecy,trustbench,BM,BM11,analyze
1712863783,True,success,4.02,529327718.4,619808768.0,764231680,0,/experiments/comparison/prophecy/1/BM3/ruleset.csv,prophecy,trustbench,BM,BM3,analyze
1712863787,True,success,3.63,539729009.7777778,612564992.0,750989312,0,/experiments/comparison/prophecy/1/BM5/ruleset.csv,prophecy,trustbench,BM,BM5,analyze
1712863791,True,success,3.82,560394024.4210526,629194752.0,762773504,0,/experiments/comparison/prophecy/1/BM12/ruleset.csv,prophecy,trustbench,BM,BM12,analyze
1712863794,True,success,4.23,588353926.0952381,665366528.0,786939904,0,/experiments/comparison/prophecy/1/BM8/ruleset.csv,prophecy,trustbench,BM,BM8,analyze
1712863799,True,success,3.63,543136426.6666666,617203712.0,758161408,0,/experiments/comparison/prophecy/1/BM9/ruleset.csv,prophecy,trustbench,BM,BM9,analyze
1712863802,True,success,4.43,590628119.2727273,659269632.0,794402816,0,/experiments/comparison/prophecy/1/BM4/ruleset.csv,prophecy,trustbench,BM,BM4,analyze
1712863807,True,success,4.43,550834920.7272727,640606208.0,766656512,0,/experiments/comparison/prophecy/1/BM1/ruleset.csv,prophecy,trustbench,BM,BM1,analyze
1712863811,True,success,3.82,504820789.8947368,603320320.0,761950208,0,/experiments/comparison/prophecy/1/BM6/ruleset.csv,prophecy,trustbench,BM,BM6,analyze
